image,tank_h,water_h
..\..\data\images\data_5_2_0057.jpg,tensor([404.7478]),tensor([191.7326])
..\..\data\images\data_5_2_0058.jpg,tensor([404.5344]),tensor([188.6096])
..\..\data\images\data_5_2_0059.jpg,tensor([404.4397]),tensor([186.5279])
..\..\data\images\data_5_2_0060.jpg,tensor([404.2966]),tensor([185.0002])
..\..\data\images\data_5_2_0061.jpg,tensor([405.0559]),tensor([179.9668])
..\..\data\images\data_5_2_0062.jpg,tensor([404.9901]),tensor([178.3085])
..\..\data\images\data_5_2_0063.jpg,tensor([404.7034]),tensor([173.6636])
..\..\data\images\data_5_2_0064.jpg,tensor([405.0580]),tensor([171.8873])
..\..\data\images\data_5_2_0065.jpg,tensor([404.7455]),tensor([167.7983])
..\..\data\images\data_5_2_0066.jpg,tensor([405.6428]),tensor([164.0690])
..\..\data\images\data_5_2_0067.jpg,tensor([405.1444]),tensor([160.6958])
..\..\data\images\data_5_2_0068.jpg,tensor([405.8745]),tensor([159.6235])
..\..\data\images\data_5_2_0069.jpg,tensor([405.3418]),tensor([157.1105])
..\..\data\images\data_5_2_0070.jpg,tensor([405.5880]),tensor([155.9776])
..\..\data\images\data_5_2_0071.jpg,tensor([405.4369]),tensor([149.1110])
..\..\data\images\data_5_2_0072.jpg,tensor([404.9068]),tensor([147.7034])
..\..\data\images\data_5_2_0073.jpg,tensor([405.6425]),tensor([146.2378])
..\..\data\images\data_5_2_0074.jpg,tensor([405.7505]),tensor([141.7937])
..\..\data\images\data_5_2_0075.jpg,tensor([405.6964]),tensor([139.7291])
..\..\data\images\data_5_2_0076.jpg,tensor([405.6097]),tensor([138.7674])
..\..\data\images\data_5_2_0077.jpg,tensor([406.0972]),tensor([136.5105])
..\..\data\images\data_5_2_0078.jpg,tensor([405.5328]),tensor([135.2907])
..\..\data\images\data_5_2_0079.jpg,tensor([405.8186]),tensor([132.7371])
..\..\data\images\data_5_2_0080.jpg,tensor([405.5901]),tensor([129.7034])
..\..\data\images\data_5_2_0081.jpg,tensor([405.5914]),tensor([128.0775])
..\..\data\images\data_5_2_0082.jpg,tensor([405.6198]),tensor([123.6455])
..\..\data\images\data_5_2_0083.jpg,tensor([405.5316]),tensor([119.0789])
..\..\data\images\data_5_2_0084.jpg,tensor([405.4045]),tensor([118.1735])
..\..\data\images\data_5_2_0085.jpg,tensor([405.3596]),tensor([115.0891])
..\..\data\images\data_5_2_0086.jpg,tensor([405.3177]),tensor([111.7346])
..\..\data\images\data_5_2_0087.jpg,tensor([405.4461]),tensor([110.7879])
..\..\data\images\data_5_2_0088.jpg,tensor([405.8410]),tensor([109.2623])
..\..\data\images\data_5_2_0089.jpg,tensor([405.4423]),tensor([107.4001])
..\..\data\images\data_5_2_0090.jpg,tensor([405.6110]),tensor([105.7181])
..\..\data\images\data_5_2_0091.jpg,tensor([405.1414]),tensor([103.4149])
..\..\data\images\data_5_2_0092.jpg,tensor([405.3165]),tensor([101.7157])
..\..\data\images\data_5_2_0093.jpg,tensor([405.3247]),tensor([100.2003])
..\..\data\images\data_5_2_0094.jpg,tensor([405.1513]),tensor([98.2554])
..\..\data\images\data_5_2_0095.jpg,tensor([405.0567]),tensor([96.1807])
..\..\data\images\data_5_2_0096.jpg,tensor([404.7187]),tensor([94.2775])
..\..\data\images\data_5_2_0097.jpg,tensor([404.8485]),tensor([92.7320])
..\..\data\images\data_5_2_0098.jpg,tensor([405.3361]),tensor([90.6289])
..\..\data\images\data_5_2_0099.jpg,tensor([405.0402]),tensor([89.3371])
..\..\data\images\data_5_2_0100.jpg,tensor([405.2536]),tensor([86.7236])
..\..\data\images\data_5_2_0101.jpg,tensor([404.8151]),tensor([84.9763])
..\..\data\images\data_5_2_0102.jpg,tensor([405.1558]),tensor([81.4747])
..\..\data\images\data_5_2_0103.jpg,tensor([405.2183]),tensor([80.3795])
..\..\data\images\data_5_2_0104.jpg,tensor([405.0681]),tensor([79.5671])
..\..\data\images\data_5_2_0105.jpg,tensor([404.9972]),tensor([77.8347])
..\..\data\images\data_5_2_0106.jpg,tensor([405.4072]),tensor([75.9856])
..\..\data\images\data_5_2_0107.jpg,tensor([404.8448]),tensor([74.5301])
..\..\data\images\data_5_2_0108.jpg,tensor([404.8979]),tensor([74.1482])
..\..\data\images\data_5_2_0109.jpg,tensor([405.1596]),tensor([72.0247])
..\..\data\images\data_5_2_0110.jpg,tensor([404.7993]),tensor([70.7076])
..\..\data\images\data_5_2_0111.jpg,tensor([405.0573]),tensor([69.1903])
